item,item_slot,match_id,player_slot
0,0,4196318122,0
1,1,4196318122,0
11,2,4196318122,0
46,3,4196318122,0
214,4,4196318122,0
100,5,4196318122,0
0,6,4196318122,0
34,7,4196318122,0
0,8,4196318122,0
263,0,4196318122,1
63,1,4196318122,1
32,2,4196318122,1
52,3,4196318122,1
135,4,4196318122,1
166,5,4196318122,1
0,6,4196318122,1
0,7,4196318122,1
0,8,4196318122,1
1,0,4196318122,2
147,1,4196318122,2
119,2,4196318122,2
139,3,4196318122,2
137,4,4196318122,2
48,5,4196318122,2
0,6,4196318122,2
0,7,4196318122,2
0,8,4196318122,2
50,0,4196318122,3
210,1,4196318122,3
102,2,4196318122,3
46,3,4196318122,3
116,4,4196318122,3
166,5,4196318122,3
157,6,4196318122,3
212,7,4196318122,3
0,8,4196318122,3
1,0,4196318122,4
100,1,4196318122,4
102,2,4196318122,4
214,3,4196318122,4
42,4,4196318122,4
0,5,4196318122,4
0,6,4196318122,4
0,7,4196318122,4
0,8,4196318122,4
180,0,4196318122,128
100,1,4196318122,128
1,2,4196318122,128
0,3,4196318122,128
34,4,4196318122,128
41,5,4196318122,128
0,6,4196318122,128
0,7,4196318122,128
0,8,4196318122,128
116,0,4196318122,129
135,1,4196318122,129
252,2,4196318122,129
160,3,4196318122,129
147,4,4196318122,129
50,5,4196318122,129
0,6,4196318122,129
182,7,4196318122,129
0,8,4196318122,129
223,0,4196318122,130
1,1,4196318122,130
29,2,4196318122,130
232,3,4196318122,130
81,4,4196318122,130
0,5,4196318122,130
0,6,4196318122,130
0,7,4196318122,130
0,8,4196318122,130
250,0,4196318122,131
174,1,4196318122,131
63,2,4196318122,131
212,3,4196318122,131
116,4,4196318122,131
225,5,4196318122,131
0,6,4196318122,131
0,7,4196318122,131
0,8,4196318122,131
254,0,4196318122,132
92,1,4196318122,132
214,2,4196318122,132
9,3,4196318122,132
30,4,4196318122,132
232,5,4196318122,132
40,6,4196318122,132
43,7,4196318122,132
0,8,4196318122,132
242,0,4193417965,0
127,1,4193417965,0
116,2,4193417965,0
1,3,4193417965,0
29,4,4193417965,0
46,5,4193417965,0
0,6,4193417965,0
0,7,4193417965,0
0,8,4193417965,0
63,0,4193417965,1
172,1,4193417965,1
152,2,4193417965,1
108,3,4193417965,1
116,4,4193417965,1
158,5,4193417965,1
46,6,4193417965,1
0,7,4193417965,1
0,8,4193417965,1
90,0,4193417965,2
61,1,4193417965,2
1,2,4193417965,2
267,3,4193417965,2
59,4,4193417965,2
214,5,4193417965,2
0,6,4193417965,2
0,7,4193417965,2
0,8,4193417965,2
63,0,4193417965,3
135,1,4193417965,3
158,2,4193417965,3
116,3,4193417965,3
263,4,4193417965,3
149,5,4193417965,3
41,6,4193417965,3
0,7,4193417965,3
0,8,4193417965,3
0,0,4193417965,4
254,1,4193417965,4
37,2,4193417965,4
214,3,4193417965,4
116,4,4193417965,4
185,5,4193417965,4
46,6,4193417965,4
0,7,4193417965,4
0,8,4193417965,4
1,0,4193417965,128
116,1,4193417965,128
235,2,4193417965,128
152,3,4193417965,128
256,4,4193417965,128
63,5,4193417965,128
0,6,4193417965,128
0,7,4193417965,128
0,8,4193417965,128
1,0,4193417965,129
152,1,4193417965,129
37,2,4193417965,129
40,3,4193417965,129
214,4,4193417965,129
232,5,4193417965,129
0,6,4193417965,129
0,7,4193417965,129
0,8,4193417965,129
0,0,4193417965,130
36,1,4193417965,130
1,2,4193417965,130
214,3,4193417965,130
0,4,4193417965,130
46,5,4193417965,130
0,6,4193417965,130
0,7,4193417965,130
0,8,4193417965,130
1,0,4193417965,131
100,1,4193417965,131
137,2,4193417965,131
48,3,4193417965,131
119,4,4193417965,131
114,5,4193417965,131
0,6,4193417965,131
0,7,4193417965,131
0,8,4193417965,131
147,0,4193417965,132
145,1,4193417965,132
1,2,4193417965,132
160,3,4193417965,132
50,4,4193417965,132
139,5,4193417965,132
0,6,4193417965,132
0,7,4193417965,132
0,8,4193417965,132
37,0,4193337196,0
40,1,4193337196,0
0,2,4193337196,0
30,3,4193337196,0
180,4,4193337196,0
108,5,4193337196,0
0,6,4193337196,0
0,7,4193337196,0
0,8,4193337196,0
63,0,4193337196,1
168,1,4193337196,1
145,2,4193337196,1
139,3,4193337196,1
116,4,4193337196,1
147,5,4193337196,1
46,6,4193337196,1
